leg,joint,cmd_delta_rad,act_delta_rad
hover,2,0.000267924,0.000272907
hover,2,0.000267490,0.000272408
hover,2,0.000267088,0.000271931
hover,2,0.000266699,0.000271447
hover,2,0.000266233,0.000270963
hover,2,0.000265827,0.000270501
hover,2,0.000265508,0.000270031
hover,2,0.000265149,0.000269555
hover,2,0.000264380,0.000269115
hover,2,0.000261345,0.000268638
hover,2,0.000266114,0.000267975
hover,2,0.000262423,0.000267684
hover,2,0.000263567,0.000267163
hover,2,0.000263561,0.000266805
hover,2,0.000261807,0.000266403
hover,2,0.000262219,0.000265941
hover,2,0.000260554,0.000265561
hover,2,0.000260189,0.000264987
hover,2,0.000259894,0.000264540
hover,2,0.000260924,0.000264056
hover,2,0.000258436,0.000263706
hover,2,0.000259624,0.000263192
hover,2,0.000258542,0.000262789
hover,2,0.000259235,0.000262335
hover,2,0.000258266,0.000261955
hover,2,0.000256071,0.000261538
hover,2,0.000257679,0.000261009
hover,2,0.000256550,0.000260644
hover,2,0.000256971,0.000260189
hover,2,0.000254053,0.000259824
hover,2,0.000256509,0.000259236
hover,2,0.000254400,0.000258915
hover,2,0.000254359,0.000258438
hover,2,0.000254920,0.000258006
hover,2,0.000253196,0.000257634
hover,2,0.000253870,0.000257187
hover,2,0.000251902,0.000256799
hover,2,0.000251825,0.000256263
hover,2,0.000251738,0.000255808
hover,2,0.000251393,0.000255346
hover,2,0.000250964,0.000254937
hover,2,0.000250488,0.000254497
hover,2,0.000249986,0.000254020
hover,2,0.000249547,0.000253610
hover,2,0.000249052,0.000253141
hover,2,0.000248589,0.000252709
hover,2,0.000248086,0.000252284
hover,2,0.000252244,0.000251807
hover,2,0.000246539,0.000251748
hover,2,0.000245969,0.000251159
hover,2,0.000245406,0.000250623
hover,2,0.000244789,0.000250079
hover,2,0.000239702,0.000249535
hover,2,0.000244346,0.000248581
hover,2,0.000244200,0.000248156
hover,2,0.000243481,0.000247724
hover,2,0.000243217,0.000247233
hover,2,0.000242930,0.000246778
hover,2,0.000242618,0.000246353
hover,2,0.000241674,0.000245929
hover,2,0.000239700,0.000245459
hover,2,0.000240848,0.000244871
hover,2,0.000239902,0.000244439
hover,2,0.000239032,0.000243917
hover,2,0.000240023,0.000243418
hover,2,0.000239223,0.000243016
hover,2,0.000238332,0.000242561
hover,2,0.000237661,0.000242099
hover,2,0.000236961,0.000241607
hover,2,0.000236595,0.000241131
hover,2,0.000237136,0.000240617
hover,2,0.000233204,0.000240207
hover,2,0.000236496,0.000239514
hover,2,0.000237215,0.000239164
hover,2,0.000231010,0.000238858
hover,2,0.000234882,0.000238098
hover,2,0.000231413,0.000237487
hover,2,0.000232332,0.000236280
hover,2,0.000231587,0.000235043
hover,2,0.000230803,0.000233978
hover,2,0.000231167,0.000233084
hover,2,0.000228984,0.000232331
hover,2,0.000227652,0.000231549
hover,2,0.000232939,0.000230901
hover,2,0.000233493,0.000224732
hover,2,0.000324122,0.000237271
hover,2,0.000364373,0.000273235
hover,2,0.000360646,0.000285417
hover,2,0.000334691,0.000241540
hover,2,0.000350217,0.000318766
hover,2,0.000326578,0.000288226
hover,2,0.000344842,0.000304364
hover,2,0.000304863,0.000319213
hover,2,0.000320104,0.000315666
hover,2,0.000326635,0.000308849
hover,2,0.000303790,0.000327729
hover,2,0.000312842,0.000315391
hover,2,0.000337939,0.000302233
hover,2,0.000318778,0.000335149
hover,2,0.000325751,0.000304334
hover,2,0.000315594,0.000319935
hover,2,0.000303488,0.000332877
hover,2,0.000333382,0.000315160
hover,2,0.000304264,0.000296429
hover,2,0.000341240,0.000354998
hover,2,0.000290013,0.000273801
hover,2,0.000350647,0.000361562
hover,2,0.000289171,0.000280499
hover,2,0.000348601,0.000357687
hover,2,0.000294073,0.000282355
hover,2,0.000350102,0.000359438
hover,2,0.000291824,0.000279970
hover,2,0.000341200,0.000361331
hover,2,0.000283977,0.000278354
hover,2,0.000352818,0.000361808
hover,2,0.000288857,0.000277661
hover,2,0.000358574,0.000362366
hover,2,0.000284568,0.000278570
hover,2,0.000354783,0.000362828
hover,2,0.000285350,0.000277959
hover,2,0.000349880,0.000362091
hover,2,0.000289484,0.000278279
hover,2,0.000344933,0.000362568
hover,2,0.000290848,0.000277489
hover,2,0.000350767,0.000362352
hover,2,0.000284584,0.000278108
hover,2,0.000349014,0.000361778
hover,2,0.000294729,0.000279121
hover,2,0.000355512,0.000361152
hover,2,0.000282499,0.000280373
hover,2,-0.006952367,0.000359297
hover,2,-0.000267031,-0.000276648
hover,2,-0.000209291,-0.000191160
hover,2,-0.000256645,-0.000275180
hover,2,-0.000208286,-0.000196770
hover,2,-0.000262626,-0.000276417
hover,2,-0.000199054,-0.000192218
hover,2,-0.000275500,-0.000280492
hover,2,-0.000183932,-0.000204310
hover,2,-0.000252591,-0.000258513
hover,2,-0.000218184,-0.000226513
hover,2,-0.000241016,-0.000250839
hover,2,-0.000218362,-0.000199400
hover,2,-0.000239215,-0.000260837
hover,2,-0.000214203,-0.000203378
hover,2,-0.000266561,-0.000270955
hover,2,-0.000186293,-0.000192411
hover,2,-0.000268433,-0.000275292
hover,2,-0.000185623,-0.000187434
hover,2,-0.000272337,-0.000275560
hover,2,-0.000186748,-0.000181042
hover,2,-0.000262201,-0.000272512
hover,2,-0.000215867,-0.000204511
hover,2,-0.000228499,-0.000232756
hover,2,-0.000264484,-0.000263311
hover,2,-0.000181252,-0.000193253
hover,2,-0.000262235,-0.000264697
hover,2,-0.000191803,-0.000192314
hover,2,-0.000271218,-0.000272982
hover,2,-0.000178792,-0.000185512
hover,2,-0.000271674,-0.000271358
hover,2,-0.000191514,-0.000189044
hover,2,-0.000264952,-0.000265412
hover,2,-0.000200636,-0.000209048
hover,2,-0.000216388,-0.000215635
hover,2,-0.000265267,-0.000266947
hover,2,-0.000175943,-0.000178270
hover,2,-0.000270652,-0.000271700
hover,2,-0.000169693,-0.000193611
hover,2,-0.000243798,-0.000239097
hover,2,-0.000224066,-0.000212222
hover,2,-0.000241631,-0.000238746
